County,Age65AndOlderPct2020,AvgHHSize,Ed1LessThanHSPct,Ed5CollegePlusPct,Net_InterMigrationRate_2020_2021,OwnHomePct,Under18Pct2020,PctEmpChange2021,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrans,PctEmpServices,PctEmpTrade,UnempRate2021,Deep_Pov_All,Median_HH_Inc_ACS,PerCapitaInc,Poverty_Rate_ACS,POPESTIMATE2021,PopDensity2020
United States,16.33,2.6,11.13,33.67,0.07,64.63,22.06,3.3,1.201674306,0.457961719,6.804088111,10.02216341,5.654194956,49.14160969,13.44038094,5.4,5.777384811,69021,37638,12.63185031,331893745,93.81
Alabama,17.21,2.57,12.6,26.67,0.02,69.39,22.04,2.3,1.003451882,0.375966658,6.891479883,14.17811121,5.649943389,45.46624788,14.07556231,3.4,7.077315889,54943,30458,15.78512663,5039877,99.20
Autauga,15.67,2.64,10.42,28.13,0.01,74.25,24.29,2.5,0.579799776,0.193266592,7.181786556,12.08689266,4.45672761,44.29670287,14.78489428,2.8,6.2502163,62660,30968,13.57847378,59095,98.92
Baldwin,20.93,2.57,8.99,32.45,0.03,77.12,21.27,4,1.534009792,0.216543544,8.686653827,9.465635689,4.650895398,45.3131737,16.50138454,3,4.043401319,64346,35384,9.204904993,239294,145.78
Barbour,19.68,2.45,24.33,11.15,0,62.21,20.18,-3.4,5.478331971,0,4.590585212,25.4175914,6.366078729,35.79021142,10.75808901,5.7,12.82696629,36422,21325,26.47191011,24964,28.50
Bibb,16.57,2.96,19.46,11.91,0.01,78.78,21.35,2.3,1.398516357,2.237626171,11.62592728,13.48656208,5.630548462,37.91803478,14.6418582,3.5,9.076190476,54277,24787,16.94285714,22477,35.81
Blount,18.46,2.74,16.35,14.9,0,79.18,23.22,2.3,1.456030358,0.37122587,9.52400594,17.03514272,7.556508827,39.4984326,15.88434252,2.4,5.291223017,52830,27309,13.23663049,59041,91.70
Bullock,17.05,2.92,22.39,11.69,0.01,64.93,19.32,-3.5,4.085908853,0.314300681,4.793085385,42.64012572,2.776322682,25.90361446,6.652697748,4,10.1937828,29063,21012,30.9345983,10320,16.63
Butler,20.67,2.89,14.44,14.04,0.02,72.39,21.77,-0.2,2.391965112,0.066076384,4.387471918,24.79185939,4.889652438,39.92335139,11.77481168,5.3,6.66136725,45236,23897,18.17700053,18884,24.52
Calhoun,17.97,2.56,14.79,19.53,0,70.98,20.74,1.9,0.658203085,0.303629287,5.218755731,18.07918815,4.462739185,43.72669289,15.30780674,4.1,8.329655586,50977,26440,17.53843981,115972,192.18
Chambers,20.01,2.61,17.22,13.65,0.06,69.26,20.08,1.9,2.216048585,0.051686264,4.72929319,30.70810182,4.74867554,39.24925701,9.910841194,3.7,5.091703057,47232,24840,15.0713246,34541,58.29
Cherokee,23.55,2.55,20.18,12.82,0,78.49,19.23,4,3.410251174,0,9.832550541,20.59424137,6.86134368,38.23769655,11.87461711,2.5,5.073789487,43475,26867,14.97337074,24996,45.11
Chilton,16.97,2.68,18.24,13.54,0,73.79,23.61,2.2,0.570944036,1.317128321,16.15036744,14.60146976,5.313736574,33.37478802,16.65912945,2.9,6.004524887,56243,26426,15.7239819,45274,64.97
Choctaw,23.22,2.42,19.42,11.71,-0.01,83.32,19.72,0.9,6.311637081,2.958579882,9.489371028,16.61187815,6.136313829,34.42910366,15.82292352,4.4,9.402523209,38581,25163,21.56629374,12533,13.86
Clarke,20.23,2.79,17.78,13.89,0,72.52,20.96,2.1,3.526004282,0.226671704,9.62095454,14.78403224,8.034252613,37.42601687,15.5773832,6,10.55722302,44108,25263,21.90612902,22760,18.64
Clay,20.79,2.59,16.99,13.38,0,76.51,20.63,1.1,2.466408982,0,8.724461623,27.53543162,6.055586232,31.52954169,13.36278299,2.7,5.59902376,45163,26255,16.92627952,14190,23.57
Cleburne,19.8,2.66,16.94,16.38,0.01,77.21,22.82,3.3,2.444521498,0,13.38418863,21.01248266,3.918169209,35.36754508,13.43619972,2.6,5.333154218,48333,27026,14.17920473,15103,26.88
Coffee,17.1,2.56,13.64,22.68,0.04,69.11,23.74,1.5,2.959429418,0.314931456,4.81659874,9.934234902,10.99018155,43.16413486,13.46331975,2.8,7.327981651,59034,29688,15.94036697,54174,78.74
